PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_127,Y,Bomen solar farm 2021 16 0.0 Hay model.csv,16,0,24_10_08_Match_measured_inv_2_127
SIM_128,Y,Bomen solar farm 2021 16 0.1 Hay model.csv,16,0.1,24_10_08_Match_measured_inv_2_128
SIM_129,Y,Bomen solar farm 2021 16 0.2 Hay model.csv,16,0.2,24_10_08_Match_measured_inv_2_129
SIM_130,Y,Bomen solar farm 2021 16 0.3 Hay model.csv,16,0.3,24_10_08_Match_measured_inv_2_130
SIM_131,Y,Bomen solar farm 2021 16 0.4 Hay model.csv,16,0.4,24_10_08_Match_measured_inv_2_131
SIM_132,Y,Bomen solar farm 2021 16 0.5 Hay model.csv,16,0.5,24_10_08_Match_measured_inv_2_132
SIM_133,Y,Bomen solar farm 2021 16 0.6 Hay model.csv,16,0.6,24_10_08_Match_measured_inv_2_133
SIM_134,Y,Bomen solar farm 2021 16 0.7 Hay model.csv,16,0.7,24_10_08_Match_measured_inv_2_134
SIM_135,Y,Bomen solar farm 2021 16 0.8 Hay model.csv,16,0.8,24_10_08_Match_measured_inv_2_135
SIM_136,Y,Bomen solar farm 2021 16 0.9 Hay model.csv,16,0.9,24_10_08_Match_measured_inv_2_136
SIM_137,Y,Bomen solar farm 2021 16 1.0 Hay model.csv,16,1,24_10_08_Match_measured_inv_2_137
SIM_138,Y,Bomen solar farm 2021 16 1.1 Hay model.csv,16,1.1,24_10_08_Match_measured_inv_2_138
SIM_139,Y,Bomen solar farm 2021 16 1.2 Hay model.csv,16,1.2,24_10_08_Match_measured_inv_2_139
SIM_140,Y,Bomen solar farm 2021 16 1.3 Hay model.csv,16,1.3,24_10_08_Match_measured_inv_2_140
SIM_141,Y,Bomen solar farm 2021 16 1.4 Hay model.csv,16,1.4,24_10_08_Match_measured_inv_2_141
SIM_142,Y,Bomen solar farm 2021 16 1.5 Hay model.csv,16,1.5,24_10_08_Match_measured_inv_2_142
SIM_143,Y,Bomen solar farm 2021 16 1.6 Hay model.csv,16,1.6,24_10_08_Match_measured_inv_2_143
SIM_144,Y,Bomen solar farm 2021 16 1.7 Hay model.csv,16,1.7,24_10_08_Match_measured_inv_2_144
SIM_145,Y,Bomen solar farm 2021 16 1.8 Hay model.csv,16,1.8,24_10_08_Match_measured_inv_2_145
SIM_146,Y,Bomen solar farm 2021 16 1.9 Hay model.csv,16,1.9,24_10_08_Match_measured_inv_2_146
SIM_147,Y,Bomen solar farm 2021 16 2.0 Hay model.csv,16,2,24_10_08_Match_measured_inv_2_147
SIM_148,Y,Bomen solar farm 2021 17 0.0 Hay model.csv,17,0,24_10_08_Match_measured_inv_2_148
SIM_149,Y,Bomen solar farm 2021 17 0.1 Hay model.csv,17,0.1,24_10_08_Match_measured_inv_2_149
SIM_150,Y,Bomen solar farm 2021 17 0.2 Hay model.csv,17,0.2,24_10_08_Match_measured_inv_2_150
SIM_151,Y,Bomen solar farm 2021 17 0.3 Hay model.csv,17,0.3,24_10_08_Match_measured_inv_2_151
SIM_152,Y,Bomen solar farm 2021 17 0.4 Hay model.csv,17,0.4,24_10_08_Match_measured_inv_2_152
SIM_153,Y,Bomen solar farm 2021 17 0.5 Hay model.csv,17,0.5,24_10_08_Match_measured_inv_2_153
SIM_154,Y,Bomen solar farm 2021 17 0.6 Hay model.csv,17,0.6,24_10_08_Match_measured_inv_2_154
