PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 09/09/25 14:35,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,24_10_08_Match_measured inv 1-1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_143,Y,Bomen solar farm 2021 16 1.6 Perez model.csv,16,1.6,24_10_08_Match_measured_inv_2_1Uc16Uv1.6
SIM_144,Y,Bomen solar farm 2021 16 1.7 Perez model.csv,16,1.7,24_10_08_Match_measured_inv_2_1Uc16Uv1.7
SIM_145,Y,Bomen solar farm 2021 16 1.8 Perez model.csv,16,1.8,24_10_08_Match_measured_inv_2_1Uc16Uv1.8
SIM_146,Y,Bomen solar farm 2021 16 1.9 Perez model.csv,16,1.9,24_10_08_Match_measured_inv_2_1Uc16Uv1.9
SIM_147,Y,Bomen solar farm 2021 16 2.0 Perez model.csv,16,2,24_10_08_Match_measured_inv_2_1Uc16Uv2
SIM_148,Y,Bomen solar farm 2021 17 0.0 Perez model.csv,17,0,24_10_08_Match_measured_inv_2_1Uc17Uv0
SIM_149,Y,Bomen solar farm 2021 17 0.1 Perez model.csv,17,0.1,24_10_08_Match_measured_inv_2_1Uc17Uv0.1
SIM_150,Y,Bomen solar farm 2021 17 0.2 Perez model.csv,17,0.2,24_10_08_Match_measured_inv_2_1Uc17Uv0.2
SIM_151,Y,Bomen solar farm 2021 17 0.3 Perez model.csv,17,0.3,24_10_08_Match_measured_inv_2_1Uc17Uv0.3
SIM_152,Y,Bomen solar farm 2021 17 0.4 Perez model.csv,17,0.4,24_10_08_Match_measured_inv_2_1Uc17Uv0.4
SIM_153,Y,Bomen solar farm 2021 17 0.5 Perez model.csv,17,0.5,24_10_08_Match_measured_inv_2_1Uc17Uv0.5
SIM_154,Y,Bomen solar farm 2021 17 0.6 Perez model.csv,17,0.6,24_10_08_Match_measured_inv_2_1Uc17Uv0.6
SIM_155,Y,Bomen solar farm 2021 17 0.7 Perez model.csv,17,0.7,24_10_08_Match_measured_inv_2_1Uc17Uv0.7
SIM_156,Y,Bomen solar farm 2021 17 0.8 Perez model.csv,17,0.8,24_10_08_Match_measured_inv_2_1Uc17Uv0.8
SIM_157,Y,Bomen solar farm 2021 17 0.9 Perez model.csv,17,0.9,24_10_08_Match_measured_inv_2_1Uc17Uv0.9
SIM_158,Y,Bomen solar farm 2021 17 1.0 Perez model.csv,17,1,24_10_08_Match_measured_inv_2_1Uc17Uv1
SIM_159,Y,Bomen solar farm 2021 17 1.1 Perez model.csv,17,1.1,24_10_08_Match_measured_inv_2_1Uc17Uv1.1
SIM_160,Y,Bomen solar farm 2021 17 1.2 Perez model.csv,17,1.2,24_10_08_Match_measured_inv_2_1Uc17Uv1.2
SIM_161,Y,Bomen solar farm 2021 17 1.3 Perez model.csv,17,1.3,24_10_08_Match_measured_inv_2_1Uc17Uv1.3
SIM_162,Y,Bomen solar farm 2021 17 1.4 Perez model.csv,17,1.4,24_10_08_Match_measured_inv_2_1Uc17Uv1.4
SIM_163,Y,Bomen solar farm 2021 17 1.5 Perez model.csv,17,1.5,24_10_08_Match_measured_inv_2_1Uc17Uv1.5
SIM_164,Y,Bomen solar farm 2021 17 1.6 Perez model.csv,17,1.6,24_10_08_Match_measured_inv_2_1Uc17Uv1.6
SIM_165,Y,Bomen solar farm 2021 17 1.7 Perez model.csv,17,1.7,24_10_08_Match_measured_inv_2_1Uc17Uv1.7
SIM_166,Y,Bomen solar farm 2021 17 1.8 Perez model.csv,17,1.8,24_10_08_Match_measured_inv_2_1Uc17Uv1.8
SIM_167,Y,Bomen solar farm 2021 17 1.9 Perez model.csv,17,1.9,24_10_08_Match_measured_inv_2_1Uc17Uv1.9
SIM_168,Y,Bomen solar farm 2021 17 2.0 Perez model.csv,17,2,24_10_08_Match_measured_inv_2_1Uc17Uv2
SIM_169,Y,Bomen solar farm 2021 18 0.0 Perez model.csv,18,0,24_10_08_Match_measured_inv_2_1Uc18Uv0
SIM_170,Y,Bomen solar farm 2021 18 0.1 Perez model.csv,18,0.1,24_10_08_Match_measured_inv_2_1Uc18Uv0.1
SIM_171,Y,Bomen solar farm 2021 18 0.2 Perez model.csv,18,0.2,24_10_08_Match_measured_inv_2_1Uc18Uv0.2
SIM_172,Y,Bomen solar farm 2021 18 0.3 Perez model.csv,18,0.3,24_10_08_Match_measured_inv_2_1Uc18Uv0.3
SIM_173,Y,Bomen solar farm 2021 18 0.4 Perez model.csv,18,0.4,24_10_08_Match_measured_inv_2_1Uc18Uv0.4
SIM_174,Y,Bomen solar farm 2021 18 0.5 Perez model.csv,18,0.5,24_10_08_Match_measured_inv_2_1Uc18Uv0.5
SIM_175,Y,Bomen solar farm 2021 18 0.6 Perez model.csv,18,0.6,24_10_08_Match_measured_inv_2_1Uc18Uv0.6
SIM_176,Y,Bomen solar farm 2021 18 0.7 Perez model.csv,18,0.7,24_10_08_Match_measured_inv_2_1Uc18Uv0.7
SIM_177,Y,Bomen solar farm 2021 18 0.8 Perez model.csv,18,0.8,24_10_08_Match_measured_inv_2_1Uc18Uv0.8
SIM_178,Y,Bomen solar farm 2021 18 0.9 Perez model.csv,18,0.9,24_10_08_Match_measured_inv_2_1Uc18Uv0.9
SIM_179,Y,Bomen solar farm 2021 18 1.0 Perez model.csv,18,1,24_10_08_Match_measured_inv_2_1Uc18Uv1
SIM_180,Y,Bomen solar farm 2021 18 1.1 Perez model.csv,18,1.1,24_10_08_Match_measured_inv_2_1Uc18Uv1.1
SIM_181,Y,Bomen solar farm 2021 18 1.2 Perez model.csv,18,1.2,24_10_08_Match_measured_inv_2_1Uc18Uv1.2
SIM_182,Y,Bomen solar farm 2021 18 1.3 Perez model.csv,18,1.3,24_10_08_Match_measured_inv_2_1Uc18Uv1.3
SIM_183,Y,Bomen solar farm 2021 18 1.4 Perez model.csv,18,1.4,24_10_08_Match_measured_inv_2_1Uc18Uv1.4
SIM_184,Y,Bomen solar farm 2021 18 1.5 Perez model.csv,18,1.5,24_10_08_Match_measured_inv_2_1Uc18Uv1.5
SIM_185,Y,Bomen solar farm 2021 18 1.6 Perez model.csv,18,1.6,24_10_08_Match_measured_inv_2_1Uc18Uv1.6
